Name,Model,Dataset_size,noise_accuracy,atom_accuracy,source
ResNet50-1k,ResNet50,1000,0.079,0.124,full set
ResNet50-5k,ResNet50,5000,0.3592,0.3594,full set
ResNet50-10k,ResNet50,10000,0.3687,0.4149,full set
ResNet50-50k,ResNet50,50000,0.58884,0.38806,full set
ResNet50-100k,ResNet50,100000,0.68317,0.44481,full set
ResNet50-500k,ResNet50,500000,0.885926,0.703082,full set
ResNet50-1m,ResNet50,1000000,0.938441,0.745,full set
ResNet50-2m,ResNet50,2000000,0.948345,0.790936,full set
ResNet50-5m,ResNet50,5000000,0.961572,0.869206,full set
ResNet50-10m,ResNet50,10000000,0.961947,0.88377,full set
ResNet50-1k,ResNet50,1000,0.08652,0.10631,100k subset
ResNet50-5k,ResNet50,5000,0.35233,0.35629,100k subset
ResNet50-10k,ResNet50,10000,0.37662,0.40766,100k subset
ResNet50-50k,ResNet50,50000,0.5903,0.38754,100k subset
ResNet50-100k,ResNet50,100000,0.68666,0.43928,100k subset
ResNet50-500k,ResNet50,500000,0.88477,0.70572,100k subset
ResNet50-1m,ResNet50,1000000,0.93822,0.74651,100k subset
ResNet50-2m,ResNet50,2000000,0.94898,0.79049,100k subset
ResNet50-5m,ResNet50,5000000,0.96196,0.86762,100k subset
ResNet50-10m,ResNet50,10000000,0.96182,0.88319,100k subset
ResNet50-1k,ResNet50,1000,0.081377,0.10144,added noise
ResNet50-5k,ResNet50,5000,0.274299,0.35484,added noise
ResNet50-10k,ResNet50,10000,0.290046,0.400033,added noise
ResNet50-50k,ResNet50,50000,0.422524,0.383228,added noise
ResNet50-100k,ResNet50,100000,0.506458,0.441137,added noise
ResNet50-500k,ResNet50,500000,0.677765,0.705223,added noise
ResNet50-1m,ResNet50,1000000,0.76399,0.743865,added noise
ResNet50-2m,ResNet50,2000000,0.766384,0.784189,added noise
ResNet50-5m,ResNet50,5000000,0.819203,0.854681,added noise
ResNet50-10m,ResNet50,10000000,0.80102,0.854186,added noise
