Name,train_loss,valid_loss,train_accuracy,valid_accuracy,noise_accuracy,noise_loss,atom_accuracy,atom_loss
03132025-ResNet50-benchmark-dstaset_size=2000000,0.044772476,0.053976744,0.985555556,0.982848,0.940065914,0.264464087,0.780174773,1.657539676
03132025-XCiT-benchmark-dstaset_size=50000,0.045720797,0.259100133,0.99,0.95112,0.7767,1.296565151,0.69118,2.506906472
03132025-ResNet50-benchmark-dstaset_size=1000000,0.030649317,0.090276687,0.989165,0.9822,0.938441,0.4865207,0.745,3.324254274
03132025-XCiT-benchmark-dstaset_size=10000,0.076306254,2.892838917,0.98,0.5644,0.0921,6.928162231,0.2251,7.809255638
03132025-ResNet50-benchmark-dstaset_size=500000,0.030453038,0.14384384,0.98922,0.975808,0.885926,0.899101756,0.703082,3.702237644
03132025-ResNet50-benchmark-dstaset_size=100000,0.136363745,1.518382889,0.958888889,0.6332,0.11434,4.077415131,0.39378,3.548233339
03132025-ResNet50-benchmark-dstaset_size=50000,0.027217316,1.041223288,0.99024,0.86984,0.58884,3.003041169,0.38806,7.584783884
03132025-XCiT-benchmark-dstaset_size=5000,0.037746288,5.230759277,0.9875,0.4,0.094,8.100603123,0.1578,9.087002907
09232024-XCiT-dataset_v5_size-1k,0.000146595,13.9239769,1,0.074418605,0.056392157,14.73637051,0.052098039,13.50928898
03132025-ResNet50-benchmark-dstaset_size=10000,0.028572181,3.448092022,0.9903,0.5988,0.3687,4.815065775,0.4149,6.32132431
03132025-ResNet50-benchmark-dstaset_size=5000,0.026529845,3.826476097,0.9906,0.5528,0.3592,4.911996136,0.3594,7.17406744
03132025-ResNet50-benchmark-dstaset_size=1000,0.024113975,8.707680702,0.99,0.228,0.079,9.710158348,0.124,9.607304573
03132025-FPN-benchmark-dstaset_size=10000000,0.031929479,0.039577191,0.988320424,0.986797677,0.965397983,0.196350929,0.851655847,1.532831552
03132025-XCiT-benchmark-dstaset_size=10000000,0.031413853,0.035923644,0.988421302,0.987522621,0.986167982,0.088688864,0.91687706,0.906385636
02182025-ResNet50-dstaset_size=10000000,0.037016008,0.03680578,0.986666667,0.986711667,0.961947468,0.134230072,0.883770099,0.979829603
09302024-XCiT-dataset_v5_size-5m,0.005594978,0.015812317,0.998068658,0.996476026,0.96045098,0.249500835,0.909779412,0.946103757
09302024-XCiT-dataset_v5_size-2m,0.002518048,0.036749065,0.999116494,0.995536673,0.964333333,0.244863117,0.918107843,1.043415551
09302024-XCiT-dataset_v5_size-1m,0.002573553,0.045676665,0.99910122,0.994453264,0.954205882,0.331411783,0.886279412,1.45260425
09302024-XCiT-dataset_v5_size-500k,0.002475067,0.060843261,0.999118697,0.993102068,0.944156863,0.361368034,0.867803922,1.774734773
09302024-XCiT-dataset_v5_size-100k,0.001597566,0.267759948,0.999369748,0.963727184,0.718509804,2.094841022,0.65972549,3.522698319
09272024-FPN-dataset_v5_size-5m,0.006961971,0.020496891,0.997817261,0.995588963,0.953284314,0.237720049,0.813171569,1.737271177
09262024-FPN-dataset_v5_size-2m,0.008375254,0.042212446,0.99782333,0.992023437,0.928784314,0.34222188,0.769867647,1.915270782
09252024-FPN-dataset_v5_size-1m,0.002628216,0.069037316,0.999096551,0.991460454,0.922578431,0.497663833,0.774495098,2.273154487
09252024-FPN-dataset_v5_size-500k,0.002159733,0.108319477,0.999242556,0.985994531,0.868970588,0.766391082,0.665323529,3.550172133
09242024-FPN-dataset_v5_size-100k,0.001644137,0.560978483,0.999463119,0.918444517,0.434715686,3.234450621,0.557818627,4.122468463
09232024-FPN-dataset_v5_size-10k,0.000304541,3.226844549,0.999883287,0.56509566,0.142519608,5.73749255,0.413529412,4.249386291
09232024-FPN-dataset_v5_size-1k,0.000845679,8.795189857,1,0.106976744,0.062343137,9.942679753,0.06927451,9.231884216
09032024-ResNet50-dataset_v5_size-5m,0.011643142,0.020936635,0.997276887,0.994947477,0.935147059,0.273389638,0.842421569,1.183673854
