Task_name,Model_name,Dataset_size,train_loss,valid_loss,valid_noise_loss,valid_atom_loss,train_accuracy,valid_accuracy,valid_noise_accuracy,valid_atom_accuracy
ResNet50-100k,ResNet50,100000,0.0022374188093108,0.8693086049992031,3.85390669037314,4.233155312257654,0.9994281045751634,0.875589374912469,0.3718039215686274,0.5430392156862746
ResNet50-500k,ResNet50,500000,0.0027775749831859,0.1676905052203033,1.239963277648477,3.2584902440800385,0.9990972601010402,0.9776674701550128,0.7768235294117647,0.6494509803921569
ResNet50-10m,ResNet50,10000000,0.0126980215338653,0.0182344696425612,0.2047038854921565,0.9027240651495316,0.996927764116523,0.9953580917335938,0.9454803921568627,0.858063725490196
ResNet50-1m,ResNet50,1000000,0.0030578310281739,0.0838510262178867,0.669094485395095,2.162076642934014,0.999058031998898,0.988178167896162,0.8783529411764706,0.7809754901960785
ResNet50-2m,ResNet50,2000000,0.02689988384149,0.0591257528685277,0.4259127799202414,0.8652912988382228,0.9933970461483158,0.9854755123955368,0.8729509803921569,0.8287401960784314
ResNet50-5m,ResNet50,5000000,0.0116431418152975,0.0209366348168787,0.2733896379961687,1.1836738537339604,0.9972768866593356,0.994947476539521,0.9351470588235294,0.842421568627451
FPN-100k,FPN,100000,0.001644136818282,0.5609784832126948,3.2344506207634423,4.122468463112326,0.9994631185807656,0.9184445170626956,0.4347156862745098,0.5578186274509804
FPN-500k,FPN,500000,0.0021597327198153,0.1083194767976113,0.7663910823709824,3.5501721326042626,0.9992425559686828,0.9859945311978964,0.8689705882352942,0.6653235294117648
FPN-10m,FPN,10000000,0.0103722070365554,0.0168319776747776,0.2618321818463943,1.4418824904105243,0.997424728003308,0.9958898360276134,0.9507450980392156,0.8288186274509803
FPN-1m,FPN,1000000,0.0026282162147406,0.0690373160798672,0.4976638327626622,2.273154487329371,0.9990965511364897,0.9914604538238864,0.922578431372549,0.7744950980392157
FPN-2m,FPN,2000000,0.0083752541527176,0.0422124462946153,0.342221880309722,1.915270781517029,0.9978233302813272,0.9920234371352538,0.9287843137254902,0.7698676470588235
FPN-5m,FPN,5000000,0.0069619707142773,0.0204968907259398,0.2377200494794284,1.7372711770674762,0.9978172610278973,0.9955889630701712,0.9532843137254902,0.813171568627451
XCiT-100k,XCiT,100000,0.0015975662722573,0.2677599475567517,2.094841022351209,3.522698318771288,0.9993697478991596,0.9637271836048736,0.7185098039215686,0.6597254901960784
XCiT-500k,XCiT,500000,0.0024750668020577,0.0608432609794475,0.3613680339268609,1.7747347731566896,0.999118697196266,0.993102068426719,0.944156862745098,0.8678039215686274
XCiT-10m,XCiT,10000000,0.0071429360591658,0.0138274181111155,0.1301096459879887,0.7777667565439261,0.997795291728189,0.996753512009998,0.9746176470588236,0.9185735294117648
XCiT-1m,XCiT,1000000,0.0025735527081034,0.045676664513842,0.3314117834001195,1.4526042498677385,0.9991012201228644,0.9944532636100476,0.9542058823529412,0.8862794117647059
XCiT-2m,XCiT,2000000,0.0025180477929316,0.0367490646099941,0.2448631171327011,1.0434155507824,0.9991164938460936,0.9955366730472944,0.9643333333333334,0.9181078431372548
XCiT-5m,XCiT,5000000,0.0055949780057186,0.0158123172575391,0.2495008347461036,0.9461037572108064,0.9980686576563812,0.9964760259582612,0.9604509803921568,0.909779411764706
